"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jan 15 13:56:25 EST 2024","Mon Jan 15 13:56:25 EST 2024","1","","Functional Testing Test Suite","","","","Alert pop up",""
"skipped","Mon Jan 15 13:56:26 EST 2024","Mon Jan 15 13:56:26 EST 2024","1","","Ecommerce Application","","","","invalid login credentials",""
"skipped","Sun Jan 07 15:20:23 EST 2024","Sun Jan 07 15:20:23 EST 2024","1","","Ecommerce Application","","","","invalid login credentials",""
"passed","Sun Jan 07 15:20:22 EST 2024","Sun Jan 07 15:20:25 EST 2024","2303","","UI Controls Test Suite","","","","Successful login",""
"passed","Mon Jan 08 19:55:11 EST 2024","Mon Jan 08 19:55:22 EST 2024","11478","","First End To End Test Suite","","","","Placing The Order",""
"passed","Mon Jan 15 13:56:52 EST 2024","Mon Jan 15 13:57:00 EST 2024","7602","","First End To End Test Suite Smoke","","","","Placing The Order",""
"skipped","Sun Jan 07 15:20:22 EST 2024","Sun Jan 07 15:20:22 EST 2024","1","","Functional Testing Test Suite","","","","Alert pop up",""
"passed","Sun Jan 07 15:20:49 EST 2024","Sun Jan 07 15:20:56 EST 2024","7617","","First End To End Test Suite Smoke","","","","Placing The Order",""
"skipped","Mon Jan 08 19:55:11 EST 2024","Mon Jan 08 19:55:11 EST 2024","0","","Functional Testing Test Suite","","","","Alert pop up",""
"passed","Sun Jan 07 15:20:23 EST 2024","Sun Jan 07 15:20:24 EST 2024","1273","","Ecommerce Application","","","","Successful login",""
"passed","Mon Jan 08 19:55:11 EST 2024","Mon Jan 08 19:55:13 EST 2024","2366","","UI Controls Test Suite","","","","Successful login",""
"passed","Mon Jan 08 19:55:11 EST 2024","Mon Jan 08 19:55:11 EST 2024","2","","Functional Testing Test Suite","","","","JavaScript Stream functions",""
"passed","Mon Jan 15 13:56:25 EST 2024","Mon Jan 15 13:56:28 EST 2024","2449","","UI Controls Test Suite","","","","Successful login",""
"skipped","Sun Jan 07 15:20:22 EST 2024","Sun Jan 07 15:20:22 EST 2024","2","","Functional Testing Test Suite","","","","Suggestive Dropdown",""
"skipped","Sun Jan 07 15:20:22 EST 2024","Sun Jan 07 15:20:22 EST 2024","0","","Functional Testing Test Suite","","","","Sort Tables Validation",""
"skipped","Mon Jan 08 19:55:11 EST 2024","Mon Jan 08 19:55:11 EST 2024","0","","Functional Testing Test Suite","","","","Sort Tables Validation",""
"unknown","Mon Jan 08 19:55:11 EST 2024","Mon Jan 08 19:55:12 EST 2024","1450","","Ecommerce Application","","","","Successful login",""
"passed","Sun Jan 07 15:20:22 EST 2024","Sun Jan 07 15:20:22 EST 2024","3","","Functional Testing Test Suite","","","","JavaScript Stream functions",""
"unknown","Mon Jan 08 19:55:50 EST 2024","Mon Jan 08 19:56:02 EST 2024","11777","","First End To End Test Suite Smoke","","","","Placing The Order",""
"skipped","Mon Jan 08 19:55:11 EST 2024","Mon Jan 08 19:55:11 EST 2024","1","","Functional Testing Test Suite","","","","Suggestive Dropdown",""
"skipped","Mon Jan 15 13:56:25 EST 2024","Mon Jan 15 13:56:25 EST 2024","1","","Functional Testing Test Suite","","","","Suggestive Dropdown",""
"passed","Sun Jan 07 15:20:22 EST 2024","Sun Jan 07 15:20:34 EST 2024","11987","","First End To End Test Suite","","","","Placing The Order",""
"skipped","Mon Jan 08 19:55:11 EST 2024","Mon Jan 08 19:55:11 EST 2024","4","","Ecommerce Application","","","","invalid login credentials",""
"passed","Mon Jan 15 13:56:25 EST 2024","Mon Jan 15 13:56:26 EST 2024","4","","Functional Testing Test Suite","","","","JavaScript Stream functions",""
"unknown","Mon Jan 15 13:56:26 EST 2024","Mon Jan 15 13:56:27 EST 2024","1400","","Ecommerce Application","","","","Successful login",""
"skipped","Mon Jan 15 13:56:25 EST 2024","Mon Jan 15 13:56:25 EST 2024","0","","Functional Testing Test Suite","","","","Sort Tables Validation",""
"passed","Mon Jan 15 13:56:25 EST 2024","Mon Jan 15 13:56:37 EST 2024","11454","","First End To End Test Suite","","","","Placing The Order",""
